file,sound,param,value,attack_ms,band_air_share,band_high_share,band_low_share,band_lowmid_share,band_mid_share,band_sub_share,centroid_slope_hz_per_ms,crest_factor_db,decay_ms,duration_s,f0_hz,f0_hz_at_100ms,f0_hz_at_30ms,f0_hz_at_5ms,f0_voiced_confidence,harmonic_percussive_ratio,loudness_a_db,peak_db,rise_10_90_ms,rms_db,spectral_bandwidth,spectral_centroid_hz,spectral_centroid_hz_100ms,spectral_flatness,spectral_flux_mean,spectral_rolloff_85,t60_estimate_ms,zero_crossing_rate,decay20_ms,decay40_ms,sustain_share
library/synth/wav/clap__lib__0001.wav,clap,lib,0001,13.10657596371882,1.2453585360887857e-06,0.027723777533588276,6.676384057047945e-09,0.0020866513150572885,0.9701882981967357,2.0919698822595075e-08,20.760996844055693,23.642162698774797,0.27210884353741494,0.018798185941043082,nan,nan,nan,nan,0.009600945193747563,1.6405523172660728e-05,-24.635844633360744,-1.000151903819357,12.721088435374151,-24.642314602594155,4147.535870839129,3795.529079434967,1413.8357018652068,0.029313350650813762,0.2043423936061187,8403.1171875,88.02849315324428,0.04998046875,24,44,0.001205
library/synth/wav/clap__lib__0002.wav,clap,lib,0002,9.070294784580499,2.0565101003003823e-05,0.23023570746878397,6.135094840661942e-08,0.0007554116617146512,0.7689882450213584,9.39619157860756e-09,15.573043077245947,19.73965258315836,0.18140589569160998,0.029047619047619048,nan,nan,nan,nan,0.010000266032109557,0.003517688143519668,-20.173699758419023,-1.000151903819357,8.956916099773242,-20.739804486977718,2834.8477979922222,2882.546643282034,1733.6657012096687,0.013600761303354685,0.26959662382662736,5427.195387620192,172.29484518737024,0.07042518028846154,42,102,0.03344
library/synth/wav/clap__lib__0003.wav,clap,lib,0003,42.857142857142854,0.0001854966035669931,0.3461190678957924,5.684097864826143e-09,0.00040556699480238587,0.6532898453209173,1.7500823127526265e-08,21.051979838437173,22.66801564705882,0.15873015873015872,0.054965986394557825,nan,nan,nan,nan,0.010033840323701256,0.003367299915429936,-23.126071571488914,-1.000151903819357,42.7891156462585,-23.668167550878177,3796.150717497536,4069.1030215460114,2058.8374821648945,0.036978771351955174,0.537449174899374,8328.181640625,72.57043429441383,0.07314453125,28,52,0.2704
library/synth/wav/clap__lib__0004.wav,clap,lib,0004,54.85260770975057,0.008902515011931974,0.7841154829050877,5.700930740955555e-10,4.0305455014163824e-07,0.2069815783553702,2.01029669722812e-08,2.593701217495832,23.146660509280245,0.22675736961451248,0.05596371882086168,nan,nan,nan,nan,0.010000041005124086,0.0176177853493518,-23.151289969932527,-0.9998544876801003,54.80725623582766,-24.146514996960345,2268.9956297186664,3657.051852797877,3366.1111678316965,0.005477662893603452,0.6750226352046473,5339.15771484375,324.2343350999197,0.1356201171875,96,210,0.982
library/synth/wav/clap__lib__0005.wav,clap,lib,0005,96.07709750566893,9.696900671418143e-05,0.4427664782787036,1.943546937917797e-09,4.169550987557904e-05,0.557094839432481,1.5828678804856287e-08,15.621794032991186,22.16397937584178,0.09070294784580499,0.10530612244897959,nan,nan,nan,nan,0.010101235790032073,0.039479877926523244,-22.395672087903975,-0.9998544876801003,95.91836734693878,-23.16383386352188,2545.3080744304393,3132.861382232234,2318.4149135338166,0.015352936840686325,0.860726641849574,5690.382982336957,81.76889750757483,0.06593919836956522,28,52,0.8746
library/synth/wav/clap__lib__0006.wav,clap,lib,0006,10.272108843537415,8.707618326795057e-05,0.3885470799127765,6.358016407527542e-09,0.0001325712607820924,0.6112332504754613,1.5809695858801093e-08,11.299279291383836,22.02579862627727,0.13605442176870747,0.01634920634920635,nan,nan,nan,nan,0.010000065855648785,0.022544377898064395,-22.295826558432704,-1.000151903819357,10.068027210884354,-23.025950530096626,3046.021925805901,3260.2247774292036,2060.642264613487,0.017348003922315447,0.2829214402769038,6095.642419763513,252.96582786538423,0.08303420608108109,66,146,0.08543
library/synth/wav/clap__lib__0007.wav,clap,lib,0007,37.482993197278915,0.004641695040890011,0.7479461833751464,3.8342039293306017e-10,1.2301945403753734e-06,0.24741087400424008,1.7001762619177047e-08,16.23927377448991,22.376404345389115,0.06802721088435373,0.046848072562358276,nan,nan,nan,nan,0.010017375494965368,0.0074073835382263715,-22.39321834942158,-1.000151903819357,37.43764172335601,-23.376556249208473,3543.352628398012,4592.16237492297,3177.944103664052,0.035657127796543425,0.49127289154692805,8437.825520833334,114.11974024447488,0.12310112847222222,40,76,0.2077
library/synth/wav/clap__lib__0008.wav,clap,lib,0008,47.50566893424036,1.7555820865463473e-06,0.046170567124179024,5.499462477868496e-08,0.002527760645865805,0.9512998431514642,1.8501779751279507e-08,14.575188965426156,22.691318244091125,0.20408163265306123,0.06356009070294785,nan,nan,nan,nan,0.01000092855640946,0.03041817314233042,-23.465562980953866,-0.9998544876801003,47.233560090702944,-23.691172731771225,2593.5546689575403,2469.5530613935657,1438.4905220781588,0.010092643857475922,0.4821046308003255,4673.502604166667,160.91843319400857,0.05101634837962963,52,96,0.415
library/synth/wav/clap__lib__0009.wav,clap,lib,0009,52.53968253968254,0.00020558644293833313,0.5672342665668021,9.677745585861408e-10,9.926078574492058e-06,0.4325502044965362,1.544737425580068e-08,9.97347409133945,21.94187386361424,0.31746031746031744,0.05566893424036281,nan,nan,nan,nan,0.01000671743215812,0.022589584466033378,-21.941647024765505,-0.9998544876801003,52.42630385487528,-22.94172835129434,2883.089360889263,3480.016235370735,2432.9086085615922,0.01877472379684674,0.4979555331904953,6220.887169471154,243.53867758258195,0.09258563701923077,66,134,0.8213
library/synth/wav/clap__lib__0010.wav,clap,lib,0010,50.49886621315193,0.00035452141282809116,0.5090513844998291,3.975425099402787e-09,4.866451199722118e-05,0.4905453964802919,2.9119628590080006e-08,16.10829083854792,24.776049478214997,0.11337868480725624,0.052653061224489796,nan,nan,nan,nan,0.010001385947169365,0.012380039797144722,-24.964448835725285,-0.9998544876801003,50.29478458049886,-25.775903965895097,3717.319378065072,4243.950802546084,2436.155256389449,0.03375154900079108,0.5177623996878923,8380.583732358871,114.96519633594075,0.09156060987903226,32,68,0.772
